Entity,Code_x,Year_x,Deaths - Self-harm - Sex: Both - Age: Age-standardized (Rate)_x,Prevalence - Depressive disorders - Sex: Both - Age: Age-standardized (Rate)_x,change in depression,change in suicide,,Year_y,Deaths - Self-harm - Sex: Both - Age: Age-standardized (Rate)_y,Prevalence - Depressive disorders - Sex: Both - Age: Age-standardized (Rate)_y,population,Continent_y
Fiji,FJI,1990,10.00814282,3027.063935,0.051859265,-0.066287591,,2017,9.829020588,3069.448889,877460,
Finland,FIN,1990,26.95873542,4982.426491,-0.432499513,-1.925272837,,2017,12.94494674,4400.604292,5511372,
France,FRA,1990,21.27871541,4184.629313,-0.301547838,-1.545348341,,2017,12.40029797,3843.925514,64842513,
French Guiana,GUF,1990,,,#DIV/0!,#DIV/0!,,2017,,,275189,
French Polynesia,PYF,1990,,,#DIV/0!,#DIV/0!,,2017,,,276108,
Gabon,GAB,1990,12.94999799,4073.254767,-0.097927087,-0.121030375,,2017,12.52681535,3965.556634,2064812,
Gambia,GMB,1990,8.427495795,4115.160784,-0.02539465,0.562198675,,2017,9.706736077,4086.944956,2213900,
Georgia,GEO,1990,4.812891166,2647.817717,-0.004787841,2.06300193,,2017,7.493722182,2644.394838,4008723,
Germany,DEU,1990,13.68273961,3579.531591,-0.015379993,-1.019213957,,2017,9.917417031,3564.667235,82658409,
Ghana,GHA,1990,7.957371443,3341.981169,-0.020289572,0.812209996,,2017,9.702396733,3323.67318,29121464,
Gibraltar,GIB,1990,,,#DIV/0!,#DIV/0!,,2017,,,33723,
Greece,GRC,1990,3.490638639,3813.119649,0.0376535,0.016568752,,2017,3.506254231,3851.88552,10569449,
Greenland,GRL,1990,98.83169616,5804.372145,-0.0520412,-1.790116124,,2017,51.06323868,5722.814192,56473,
Grenada,GRD,1990,6.64272653,2652.923658,-0.000740144,-0.999608882,,2017,4.849891851,2652.393501,110874,
Guadeloupe,GLP,1990,,,#DIV/0!,#DIV/0!,,2017,,,399679,
Guam,GUM,1990,16.99361645,3235.809888,0.110282739,0.779558809,,2017,20.57044777,3332.160462,164281,
Guatemala,GTM,1990,10.77708492,3144.797229,-0.084841317,-1.670341921,,2017,5.916702403,3072.75887,16914979,
Guinea,GIN,1990,8.079473641,3447.640866,0.077302478,1.395225612,,2017,11.12309955,3519.598885,12067516,
Guinea-Bissau,GNB,1990,13.58425341,3523.047624,0.093891222,0.002860469,,2017,13.59474489,3612.359101,1828146,
Guyana,GUY,1990,22.01356825,3610.406634,0.409253854,0.682835113,,2017,26.07211034,4009.351298,775218,
Haiti,HTI,1990,11.10438126,2896.250725,0.012115889,-0.850924229,,2017,8.553154753,2905.725201,10982367,
High SDI,,1990,13.07908034,3580.073086,0.014918582,-0.480459795,,2017,11.38240783,3594.493682,,
High-income,,1990,13.05429363,3719.968634,0.026367544,-0.40304191,,2017,11.63370822,3746.451972,,
High-income Asia Pacific,,1990,14.78998873,2759.738131,0.274614511,0.394934037,,2017,16.36707762,2964.361448,,
High-middle SDI,,1990,16.99967503,3500.409749,-0.145753846,-1.7461611,,2017,8.984948793,3362.656239,,
Honduras,HND,1990,5.889372835,2558.095488,0.132421041,-0.938302891,,2017,4.397348634,2649.556818,9429016,
Hong Kong,HKG,1990,,,#DIV/0!,#DIV/0!,,2017,,,7306315,
Hungary,HUN,1990,33.81013435,3059.709289,-0.552467478,-2.139223079,,2017,14.28173103,2603.304023,9729822,
Iceland,ISL,1990,14.22452955,3331.532271,-0.253166398,-1.201938939,,2017,9.608335243,3103.805624,334395,
India,IND,1990,20.20373436,3718.843262,-0.253994728,-0.844341518,,2017,15.59784439,3463.810285,1338676779,
Indonesia,IDN,1990,4.021260334,2602.184161,-0.051934975,-0.825980987,,2017,3.124459497,2565.695181,264650968,
Iran,IRN,1990,7.223447861,4545.92386,0.268227454,-0.910463024,,2017,5.447743672,4875.146087,80673888,
