Entity,Code_x,Year_x,Deaths - Self-harm - Sex: Both - Age: Age-standardized (Rate)_x,Prevalence - Depressive disorders - Sex: Both - Age: Age-standardized (Rate)_x,change in depression,change in suicide,,Year_y,Deaths - Self-harm - Sex: Both - Age: Age-standardized (Rate)_y,Prevalence - Depressive disorders - Sex: Both - Age: Age-standardized (Rate)_y,population,Continent_y
Southeast Asia,,1990,9.47014596,2773.460853,-0.077643762,-1.306652278,,2017,6.129115255,2715.318531,,
"Southeast Asia, East Asia, and Oceania",,1990,17.95880669,3269.681187,-0.275092645,-2.198750983,,2017,7.297331846,3026.825571,,
Southern Latin America,,1990,13.5178342,3536.987857,-0.075571262,-0.729693592,,2017,10.85458741,3464.818305,,
Southern Sub-Saharan Africa,,1990,18.43727654,3606.418764,-0.038599632,-0.936232087,,2017,13.77665267,3568.833026,,
Spain,ESP,1990,7.402572136,3523.677738,-0.308556621,-0.948654917,,2017,5.506500793,3230.119132,46647425,
Sri Lanka,LKA,1990,40.83261926,3660.645299,-0.385728377,-1.907715946,,2017,19.80041876,3279.401311,21128028,
Sub-Saharan Africa,,1990,12.86247531,3791.670118,-0.080163454,-0.633212281,,2017,10.66341243,3709.602707,,
Sudan,SDN,1990,6.166882692,3709.931571,-0.023232832,-0.685902104,,2017,5.024815682,3686.659672,40813398,
Suriname,SUR,1990,24.03668391,3544.468876,0.287831611,0.115007566,,2017,24.78307205,3819.925626,570501,
Svalbard and Jan Mayen,SJM,1990,,,#DIV/0!,#DIV/0!,,2017,,,2400,
Sweden,SWE,1990,17.92360099,4324.105304,-0.15986964,-1.414825122,,2017,11.07673553,4137.456151,9904895,
Switzerland,CHE,1990,20.64127698,3865.341904,-0.460887114,-2.032104867,,2017,9.316062337,3384.34061,8455797,
Syria,SYR,1990,3.678726112,3535.106813,-0.109695746,-0.600482057,,2017,3.082293676,3430.404545,17095669,
Taiwan,TWN,1990,10.04665944,2681.884247,0.14885547,1.282038038,,2017,13.52431332,2789.671795,23674546,
Tajikistan,TJK,1990,5.925765807,2624.874809,-0.206077058,-0.107377714,,2017,5.753966106,2478.82466,8880270,
Tanzania,TZA,1990,10.3375539,3744.752863,-0.127216872,-0.544756843,,2017,8.817061528,3616.126012,54660345,
Thailand,THA,1990,13.09255052,2926.591189,0.038295284,-0.749670661,,2017,10.44247325,2956.851342,69209817,
Timor,TLS,1990,12.78700951,3309.440583,-0.265251365,-1.568943472,,2017,7.370243834,3072.425502,1243260,
Togo,TGO,1990,10.83925946,3539.298939,0.07840043,0.485541479,,2017,12.26024518,3614.21923,7698476,
Tokelau,TKL,1990,,,#DIV/0!,#DIV/0!,,2017,,,1297,
Tonga,TON,1990,5.675059494,2843.695523,-0.029266186,0.190176448,,2017,5.966460412,2821.22501,102002,
Trinidad and Tobago,TTO,1990,14.0331417,3272.37368,-0.148871713,-1.032065772,,2017,10.12269789,3140.839434,1384060,
Tropical Latin America,,1990,7.082756945,3408.257872,-0.28430844,-0.520269174,,2017,6.087823117,3146.628823,,
Tunisia,TUN,1990,3.083089811,3758.39997,-0.053404856,0.033438583,,2017,3.110925233,3704.206432,11433438,
Turkey,TUR,1990,4.182112477,3652.544082,-0.157415477,-0.771665689,,2017,3.310770446,3497.303,81116451,
Turkmenistan,TKM,1990,9.064271903,2814.588497,-0.176714478,-0.155798301,,2017,8.682978398,2680.296292,5757667,
Turks and Caicos Islands,TCA,1990,,,#DIV/0!,#DIV/0!,,2017,,,37116,
Tuvalu,TUV,1990,,,#DIV/0!,#DIV/0!,,2017,,,11365,
Uganda,UGA,1990,13.03117871,4976.527496,-0.101089157,-0.422694596,,2017,11.54396233,4840.697794,41166588,
Ukraine,UKR,1990,19.42702422,4120.701477,-0.260801889,1.181096453,,2017,25.62222536,3830.53606,44487708,
United Arab Emirates,ARE,1990,4.322973176,2936.395145,-0.2597269,0.644120106,,2017,5.07479194,2730.476727,9487206,
United Kingdom,GBR,1990,9.353990105,3959.49385,-0.181947334,-0.790975406,,2017,7.356320552,3764.980626,66727463,
United States,USA,1990,12.08029888,4269.834472,0.112504659,0.231616111,,2017,12.83575668,4399.536065,325084758,
United States Virgin Islands,VIR,1990,6.716143475,2685.215807,0.09003415,-0.231096485,,2017,6.297082645,2750.49131,104745,
Uruguay,URY,1990,10.81540849,3059.657675,0.308302279,2.05562299,,2017,16.81815712,3314.348522,3436645,
Uzbekistan,UZB,1990,9.160511817,2876.655302,-0.134410554,0.091543641,,2017,9.3869302,2772.259037,31959774,
Vanuatu,VUT,1990,21.94928125,3088.048438,-0.022028155,-0.717087566,,2017,17.69960095,3069.681955,285499,
Vatican,VAT,1990,,,#DIV/0!,#DIV/0!,,2017,,,798,
Venezuela,VEN,1990,7.395848715,2672.840096,0.027187984,0.642053141,,2017,8.677951247,2692.460762,29402480,
Vietnam,VNM,1990,9.506400242,2893.213339,-0.145567553,-0.812069834,,2017,7.422037807,2779.500683,94600643,
Wales,,1990,9.257491083,3954.717108,-0.192188171,-0.264003991,,2017,8.597607142,3749.503649,,
Wallis and Futuna,WLF,1990,,,#DIV/0!,#DIV/0!,,2017,,,11894,
Western Europe,,1990,12.84952094,3780.078463,-0.196905009,-1.249238478,,2017,8.515449624,3579.113039,,
Western Sahara,ESH,1990,,,#DIV/0!,#DIV/0!,,2017,,,552617,
Western Sub-Saharan Africa,,1990,9.422535263,3664.210408,-0.020699394,0.02902918,,2017,9.49638795,3643.731736,,
World,OWID_WRL,1990,15.43246195,3435.480451,-0.136280435,-1.309458066,,2017,9.976258268,3309.069483,7548182589,
Yemen,YEM,1990,6.636407177,3932.308077,0.017159012,-0.347673625,,2017,6.013435168,3950.526198,27834811,
Zambia,ZMB,1990,16.46781282,3530.31329,0.049986704,-0.76642256,,2017,13.06006094,3577.959846,16853608,
Zimbabwe,ZWE,1990,17.76015132,2976.074201,0.147747292,1.800038432,,2017,26.39176915,3094.795065,14236599,
